Unnamed: 0,_id,ltable_ID,rtable_ID,ltable_Album,ltable_Artist,ltable_Release Date,rtable_Album,rtable_Artist,rtable_Release Date
0,0,a1001,b2328,black and white rainbows,bush,Mar 10 2017,black and white rainbows,bush,Mar 10 2017
2,2,a1004,b2330,different creatures,circa waves,Mar 10 2017,different creatures,circa waves,Mar 10 2017
6,6,a1009,b2350,elektrac,shobaleader one,Mar 10 2017,elektrac,shobaleader one,Mar 10 2017
7,7,a1010,b2358,packs,your old droog,Mar 10 2017,packs,your old droog,Mar 10 2017
9,9,a1012,b2346,captain california,murs,Mar 10 2017,captain california,murs,Mar 10 2017
14,14,a1015,b2308,wired,mallory knox,Mar 10 2017,wired,mallory knox,Mar 3 2017
15,15,a102,b3132,synthesis,evanescence,Nov 10 2017,synthesis,evanescence,Nov 10 2017
22,22,a1023,b2313,english tapas,sleaford mods,Mar 3 2017,english tapas,sleaford mods,Mar 3 2017
24,24,a1024,b2294,world eater,blanck mass,Mar 3 2017,world eater,blanck mass,Mar 3 2017
25,25,a1026,b2301,last place,grandaddy,Mar 3 2017,last place,grandaddy,Mar 3 2017
26,26,a1027,b2314,volcano,temples,Mar 3 2017,volcano,temples,Mar 3 2017
27,27,a1029,b2316,moh lhean,why?,Mar 3 2017,moh lhean,why?,Mar 3 2017
29,29,a1031,b2299,divide,ed sheeran,Mar 3 2017,÷,ed sheeran,Mar 3 2017
35,35,a1036,b2310,everything is forgotten,methyl ethel,Mar 3 2017,everything is forgotten,methyl ethel,Mar 3 2017
36,36,a1037,b2297,freedom is free,chicano batman,Mar 3 2017,freedom is free,chicano batman,Mar 3 2017
41,41,a1044,b2266,flying microtonal banana,king gizzard & the lizard wizard,Feb 24 2017,flying microtonal banana,king gizzard & the lizard wizard,Feb 24 2017
46,46,a1045,b2268,sick scenes,los campesinos!,Feb 24 2017,sick scenes,los campesinos!,Feb 24 2017
47,47,a1046,b2277,why love now,pissed jeans,Feb 24 2017,why love now,pissed jeans,Feb 24 2017
48,48,a1047,b2255,crystal fairy,crystal fairy,Feb 24 2017,crystal fairy,crystal fairy,Feb 24 2017
53,53,a1049,b2260,in between,the feelies,Feb 24 2017,in between,the feelies,Feb 24 2017
58,58,a1051,b2280,freedom highway,rhiannon giddens,Feb 24 2017,freedom highway,rhiannon giddens,Feb 24 2017
60,60,a1052,b2288,forget,xiu xiu,Feb 24 2017,forget,xiu xiu,Feb 24 2017
61,61,a1054,b2275,graveyard whistling,old 97's,Feb 24 2017,graveyard whistling,old 97's,Feb 24 2017
62,62,a1059,b2287,drunk,thundercat,Feb 24 2017,drunk,thundercat,Feb 24 2017
63,63,a1061,b2284,gang signs & prayer,stormzy,Feb 24 2017,gang signs & prayer,stormzy,Feb 24 2017
64,64,a1062,b2240,common as light and love are red valleys of blood,sun kil moon,Feb 24 2017,common as light and love are red valleys of blood,sun kil moon,Feb 17 2017
66,66,a1063,b2267,the  breaker,little big town,Feb 24 2017,the breaker,little big town,Feb 24 2017
70,70,a1071,b2274,the iceberg,oddisee,Feb 24 2017,the iceberg,oddisee,Feb 24 2017
78,78,a1073,b2261,hndrxx,future,Feb 24 2017,hndrxx,future,Feb 24 2017
81,81,a1074,b2256,youngish american,dams of the west,Feb 24 2017,youngish american,dams of the west,Feb 24 2017
87,87,a1081,b2247,dirty projectors,dirty projectors,Feb 21 2017,dirty projectors,dirty projectors,Feb 21 2017
88,88,a1082,b2248,rosebudd's revenge,roc marciano,Feb 21 2017,rosebudd's revenge,roc marciano,Feb 21 2017
89,89,a1083,b2234,highway queen,nikki lane,Feb 17 2017,highway queen,nikki lane,Feb 17 2017
90,90,a1084,b2242,dumb blood,vant,Feb 17 2017,dumb blood,vant,Feb 17 2017
92,92,a1086,b2238,prisoner,ryan adams,Feb 17 2017,prisoner,ryan adams,Feb 17 2017
93,93,a1087,b2220,big balloon,dutch uncles,Feb 17 2017,big balloon,dutch uncles,Feb 17 2017
94,94,a1088,b2228,life will see you now,jens lekman,Feb 17 2017,life will see you now,jens lekman,Feb 17 2017
95,95,a1090,b2117,silhouette,aquilo,Feb 17 2017,silhouettes,aquilo,Jan 27 2017
96,96,a1091,b2239,hard love,strand of oaks,Feb 17 2017,hard love,strand of oaks,Feb 17 2017
98,98,a1094,b2236,terrible human beings,the orwells,Feb 17 2017,terrible human beings,the orwells,Feb 17 2017
102,102,a1101,b2225,enter the kingdom,frontier ruckus,Feb 17 2017,enter the kingdom,frontier ruckus,Feb 17 2017
103,103,a1102,b2226,future,future,Feb 17 2017,future,future,Feb 17 2017
106,106,a1103,b2229,the  chief,jidenna,Feb 17 2017,the chief,jidenna,Feb 17 2017
111,111,a1108,b2213,windy city,alison krauss,Feb 17 2017,windy city,alison krauss,Feb 17 2017
112,112,a1110,b2223,plata o plomo,fat joe,Feb 17 2017,plata o plomo,fat joe and remy ma,Feb 17 2017
113,113,a1114,b2243,reassemblage,visible cloaks,Feb 17 2017,reassemblage,visible cloaks,Feb 17 2017
114,114,a1115,b2222,i'm only dreaming,eisley,Feb 17 2017,i'm only dreaming,eisley,Feb 17 2017
129,129,a1117,b2197,human,rag 'n' bone man,Feb 10 2017,human,rag'n'bone man,Feb 10 2017
131,131,a112,b3121,the dusk in us,converge,Nov 3 2017,the dusk in us,converge,Nov 3 2017
132,132,a1121,b2187,memories are now,jesca hoop,Feb 10 2017,memories are now,jesca hoop,Feb 10 2017
133,133,a1122,b2185,bobby fuller died for your sins,chuck prophet,Feb 10 2017,bobby fuller died for your sins,chuck prophet,Feb 10 2017
136,136,a1126,b2200,temple of i & i,thievery corporation,Feb 10 2017,the temple of i & i,thievery corporation,Feb 10 2017
137,137,a1128,b2189,drogas light,lupe fiasco,Feb 10 2017,drogas light,lupe fiasco,Feb 10 2017
140,140,a113,b3128,the  thrill of it all,sam smith,Nov 3 2017,the thrill of it all,sam smith,Nov 3 2017
141,141,a1130,b2181,zombies on broadway,andrew mcmahon in the wilderness,Feb 10 2017,zombies on broadway,andrew mcmahon in the wilderness,Feb 10 2017
144,144,a1137,b2182,blackfield v,blackfield,Feb 10 2017,blackfield v,blackfield,Feb 10 2017
145,145,a1139,b2195,the grinding wheel,overkill,Feb 10 2017,the grinding wheel,overkill,Feb 10 2017
148,148,a1140,b2155,bury me in philly,dave hause,Feb 3 2017,bury me in philly,dave hause,Feb 3 2017
149,149,a1141,b2158,little fictions,elbow,Feb 3 2017,little fictions,elbow,Feb 3 2017
150,150,a1143,b2171,process,sampha,Feb 3 2017,process,sampha,Feb 3 2017
152,152,a1146,b2173,snowdonia,surfer blood,Feb 3 2017,snowdonia,surfer blood,Feb 3 2017
154,154,a1147,b2167,after the party,the menzingers,Feb 3 2017,after the party,the menzingers,Feb 3 2017
157,157,a1151,b2154,heavy fire,black star riders,Feb 3 2017,heavy fire,black star riders,Feb 3 2017
158,158,a1152,b2161,crossover ministry,iron reagan,Feb 3 2017,crossover ministry,iron reagan,Feb 3 2017
159,159,a1153,b2160,fresh air,homeshake,Feb 3 2017,fresh air,homeshake,Feb 3 2017
161,161,a1154,b2152,i decided.,big sean,Feb 3 2017,i decided.,big sean,Feb 3 2017
165,165,a1157,b2175,fin,syd,Feb 3 2017,fin,syd,Feb 3 2017
167,167,a116,b3111,scream above the sounds,stereophonics,Nov 3 2017,scream above the sounds,stereophonics,Oct 27 2017
170,170,a1160,b2166,safe in sound,lower than atlantis,Feb 3 2017,safe in sound,lower than atlantis,Feb 3 2017
171,171,a1163,b2063,not even happiness,julie byrne,Jan 27 2017,not even happiness,julie byrne,Jan 13 2017
172,172,a1164,b2122,life without sound,cloud nothings,Jan 27 2017,life without sound,cloud nothings,Jan 27 2017
174,174,a1169,b2127,near to the wild heart of life,japandroids,Jan 27 2017,near to the wild heart of life,japandroids,Jan 27 2017
177,177,a117,b3127,red pill blues,maroon 5,Nov 3 2017,red pill blues,maroon 5,Nov 3 2017
178,178,a1170,b2101,lemon memory,menace beach,Jan 27 2017,lemon memory,menace beach,Jan 20 2017
185,185,a1174,b2103,return to ommadawn,mike oldfield,Jan 27 2017,return to ommadawn,mike oldfield,Jan 20 2017
187,187,a1175,b2115,tourist in this town,allison crutchfield,Jan 27 2017,tourist in this town,allison crutchfield,Jan 27 2017
191,191,a1178,b2138,nothing feels natural,priests,Jan 27 2017,nothing feels natural,priests,Jan 27 2017
192,192,a1182,b2129,sweetsexysavage,kehlani,Jan 27 2017,sweetsexysavage,kehlani,Jan 27 2017
197,197,a1190,b2131,gods of violence,kreator,Jan 27 2017,gods of violence,kreator,Jan 27 2017
201,201,a1192,b2123,all these countless nights,deaf havana,Jan 27 2017,all these countless nights,deaf havana,Jan 27 2017
